Fold,Loss,Accuracy (%),Zero-one Loss
1,0.515,73.230,0.268
2,1.461,72.013,0.280
3,3.157,53.821,0.462
4,0.622,76.301,0.237
5,0.482,88.151,0.118
Average,1.247,72.703,0.273
