Fold,Loss,Accuracy (%),Zero-one Loss
1,0.026,99.226,0.008
2,0.002,99.889,0.001
3,0.001,100.000,0.000
4,0.001,100.000,0.000
5,0.015,99.557,0.004
Average,0.009,99.734,0.003
